"user","viz","speed","difficulty"
"Z3aTLPbG8wvPy6TzA","series",30.728,"medium"
"ZHNtTdcsi2rTaqr3H","series",32.44975,"medium"
"ZinxDRBpTmbfPbyh3","series",61.2435,"medium"
"anADbMMrWqwy5fpXL","series",60.5595,"medium"
"dLfWKPg4vzZENza7s","series",28.05975,"medium"
"dtQA2mR79kEjZbCtx","series",55.75675,"medium"
"eJLcPS8n3aLYMZetQ","series",19.8345,"medium"
"eWYf558HzqZYTLXjd","series",90.27125,"medium"
"eneKDk3QDTpghzkg5","series",42.5195,"medium"
"fJ9m7KSykZNBKraP9","series",78.45375,"medium"
"fnybrL5hbku3RuxsW","series",50.12725,"medium"
"fqMr9DzgADfvbhEFP","series",51.244,"medium"
"g8752kBeS4S7Q2bFZ","series",54.16025,"medium"
"gjHnYbyFFisfigApY","series",52.83725,"medium"
"hgYDJshRwxs7egfvX","series",62.0075,"medium"
"iACT8Wc9PosXt7xH6","series",34.7685,"medium"
"jT3SAdPp5gfHr4k4n","series",75.955,"medium"
"jbuSnNTzpPv7iQPGq","series",46.865,"medium"
"kJCFGZGPqBPM5NiEu","series",30.2645,"medium"
"kuA7hMBw2iFfwZ9fw","series",50.30925,"medium"
"mh9p2kSQWvM8uAEK7","series",22.61625,"medium"
"nAPiCihqksXL2XbTM","series",60.075,"medium"
"nPCqhcMdGm39zbLEe","series",36.688,"medium"
"nnqqJDqAKBySbdvdE","series",33.786,"medium"
"obXkTyEzXzSrubofE","series",63.944,"medium"
"qNMBxhDWJv2wbJPzh","series",103.54875,"medium"
"qZwnWqNYBMnLCHzz2","series",31.4385,"medium"
"qjzv49dPMBpv5LSyA","series",61.61475,"medium"
"rP3cpBASPsit6sCMQ","series",36.1185,"medium"
"sndaJBRShTy4bzbPq","series",30.7745,"medium"
"stmcDKF2QPkaxzcxZ","series",39.611,"medium"
"uTbjZ8i4j5enGeHvQ","series",107.32925,"medium"
"uf8PMATFx4hCcscLz","series",43.0525,"medium"
"vF6k2cJjTXN2jH9Jj","series",45.80975,"medium"
"vSzr7miAEFuvzip2b","series",48.37525,"medium"
"vTe2CEZbj9q8wkhYc","series",83.3055,"medium"
"vhAsiBXaDHghxPSTn","series",27.577,"medium"
"wHpjq3hzhkJu5kNHm","series",42.44675,"medium"
"wRfXsATRbv699hZeG","series",39.3365,"medium"
"wpHaTDLSHxwWcei3T","series",60.1305,"medium"
"wsybRyehJdJyxLfCS","series",30.92325,"medium"
"wtNK7f3ZzgkWHgCEN","series",68.86675,"medium"
"wyjoPhnY2LzWWZAAh","series",36.7425,"medium"
"xrzoyr6xvKMK57tSi","series",49.53475,"medium"
"yMWvDqhxa73veYGvv","series",28.703,"medium"
"44Q3cDweeZi2KdNrQ","dots",38.17525,"medium"
"49wAhBNrW23jx3XXn","dots",9.59875,"medium"
"4k5RPShwnGPRsGyT5","dots",33.6055,"medium"
"4yFSjAcLo8Xpb5NBr","dots",37.449,"medium"
"565FWNPmM73esEnv7","dots",41.05,"medium"
"5L4DdJBz8gq2Fug2c","dots",74.793,"medium"
"6bJLH7KTRKX24rdzY","dots",38.01375,"medium"
